Registro_ANS	Razao_Social	Nome_Fantasia	Regiao_de_Atuacao
311375	UNIMED PELOTAS/RS - COOPERATIVA DE ASSISTÊNCIA À SAÚDE LTDA.	UNIMED PELOTAS/RS	5
323993	UNIMED PETROPOLIS-RJ COOPERATIVA DE TRABALHO MÉDICO	UNIMED PETROPOLIS	5
310131	UNIMED PLANALTO - COOPERATIVA DE TRABALHO MÉDICO	UNIMED PLANALTO	5
362832	UNIMED PLANALTO CENTRAL/RS - COOPERATIVA DE ASSISTÊNCIA  À SAÚDE LTDA.	UNIMED PLANALTO CENTRAL RS	5
319384	UNIMED PLANALTO MÉDIO- COOPERATIVA DE SERVIÇOS MÉDICOS LTDA	UNIMED PLANALTO MÉDIO	5
349712	UNIMED PONTA GROSSA COOPERATIVA DE TRABALHO MEDICO	UNIMED PONTA GROSSA	5
353876	UNIMED PONTAL DO TRIÂNGULO - COOPERATIVA DE TRABALHO MÉDICO	UNIMED PONTAL DO TRIÂNGULO	5
343722	UNIMED PONTE NOVA COOPERATIVA DE TRABALHO MEDICO LTDA	UNIMED PONTE NOVA E REGIÃO	5
352501	UNIMED PORTO ALEGRE - COOPERATIVA MÉDICA LTDA.	UNIMED PORTO ALEGRE	4
337374	UNIMED PORTO VELHO - SOCIEDADE COOPERATIVA MÉDICA LTDA	UNIMED PORTO VELHO	5
316148	UNIMED POÇOS DE CALDAS - SOC. COOP. DE TRAB. E SERVIÇOS MÉDICOS	UNIMED POCOS DE CALDAS	5
344885	UNIMED RECIFE COOPERATIVA DE TRABALHO MÉDICO	UNIMED RECIFE COOPERATIVA DE TRABALHO MÉDICO	5
311847	UNIMED REGIONAL DA BAIXA MOGIANA - COOPERATIVA DE TRABALHO MÉDICO	UNIMED BAIXA MOGIANA	5
306100	UNIMED REGIONAL DE CAMPO MOURÃO COOP TRAB MEDICO	UNIMED REGIONAL DE CAMPO MOURÂO	5
316458	UNIMED REGIONAL DE FLORIANO - COOPERATIVA DE TRABALHO MÉDICO	UNIMED REGIONAL FLORIANO	5
313475	UNIMED REGIONAL DE PICOS - COOPERATIVA DE TRABALHO MÉDICO	UNIMED REGIONAL DE PICOS	6
306762	UNIMED REGIONAL JAU - COOPERATIVA DE TRABALHO MÉDICO	UNIMED REGIONAL JAÚ	5
371254	UNIMED REGIONAL MARINGÁ COOP.DE TRABALHO MÉDICO	UNIMED REGIONAL MARINGÁ COOP.DE TRABALHO MÉDICO	5
305472	UNIMED REGIONAL SUL GOIAS COOP. DE TRABALHO MÉDICO LTDA	UNIMED REGIONAL SUL/GO	5
350648	UNIMED REGIÃO DA CAMPANHA/RS - COOPERATIVA DE ASSISTÊNCIA À SAÚDE LTDA.	UNIMED REGIÃO DA CAMPANHA/RS	5
328375	UNIMED REGIÃO DA FRONTEIRA - RS COOPERATIVA DE ASSISTÊNCIA À SAÚDE LTDA.	UNIMED REGIÃO DA FRONTEIRA - RS	5
353698	UNIMED REGIÃO DA PRODUÇÃO/RS - COOPERATIVA DE ASSISTÊNCIA À SAÚDE LTDA	UNIMED REGIÃO DA PRODUÇÃO/RS	5
330566	UNIMED RESENDE COOPERATIVA DE TRABALHO MÉDICO	UNIMED RESENDE	5
337871	UNIMED RIO BRANCO COOPERATIVA DE TRABALHO MEDICO LTDA	UNIMED RIO BRANCO COOPERATIVA DE TRABALHO MEDICO LTDA	6
320251	UNIMED RIO VERDE COOPERATIVA TRABALHO MEDICO	UNIMED RIO VERDE	5
359777	UNIMED RONDONOPOLIS COOPERATIVA DE TRABALHO MÉDICO LTDA	UNIMED RONDONÓPOLIS	5
346276	UNIMED SALTO/ITU -  COOPERATIVA MÉDICA	UNIMED SALTO/ITU - COOPERATIVA MÉDICA	5
319708	UNIMED SANTA MARIA/RS - COOPERATIVA DE ASSISTÊNCIA À SAÚDE LTDA		5
331872	UNIMED SAO JOSE DOS CAMPOS - COOPERATIVA DE TRABALHO MEDICO	UNIMED SJC	5
335100	UNIMED SAO JOSÉ DO RIO PRETO - COOP. DE TRABALHO MÉDICO	UNIMED SAO JOSÉ DO RIO PRETO	5
337668	UNIMED SERGIPE - COOPERATIVA DE TRABALHO MÉDICO	UNMED SERGIPE - COOPERATIVA DE TRABALHO MEDICO	3
349534	UNIMED SETE LAGOAS COOPERATIVA TRABALHO MÉDICO	UNIMED SETE LAGOAS COOPERATIVA TRABALHO MEDICO	5
348295	UNIMED SOROCABA COOPERATIVA DE TRABALHO MÉDICO	UNIMED SOROCABA	5
343153	UNIMED SOUSA - COOPERATIVA DE TRABALHO MÉDICO	UNIMED SOUSA	6
402834	UNIMED STA RITA, STA ROSA E SÃO SIMÃO COOP. TRAB. MÉDICO	UNIMED STA RITA, STA ROSA E SÃO SIMÃO	5
324175	UNIMED SUDOESTE DE MINAS COOPERATIVA DE TRABALHO MÉDICO	UNIMED SUDOESTE DE MINAS	5
320706	UNIMED SUL CAPIXABA COOPERATIVA DE TRABALHO MÉDICO	UNIMED SUL CAPIXABA	5
366145	UNIMED SUL DO PARA COOPERATIVA DE TRABALHO MÉDICO	UNIMED SUL DO PARÁ COOPERATIVA DE TRABALHO MÉDICO	5
354031	UNIMED SÃO CARLOS - COOPERATIVA DE TRABALHO MÉDICO	UNIMED SAO CARLOS	1
323926	UNIMED SÃO JOÃO DEL REI - COOPERATIVA DE TRABALHO MÉDICO	UNIMED SÃO JOÃO DEL REI COOPERATIVA DE TRABALHO MEDICO	5
327638	UNIMED SÃO JOÃO NEPOMUCENO COOPERATIVA DE TRABALHO MÉDICO LTDA.	UNIMED SÃO JOÃO NEPOMUCENO	5
370088	UNIMED SÃO LOURENÇO COOPERATIVA DE TRABALHO MÉDICO	UNIMED CIRCUITO DAS AGUAS	5
327352	UNIMED SÃO SEBASTIÃO DO PARAÍSO COOPERATIVA DE TRABALHO MÉDICO	UNIMED SÃO SEBASTIÃO DO PARAÍSO	5
316881	UNIMED TEOFILO OTONI COOPERATIVA DE TRABALHO MÉDICO	UNIMED TRES VALES	5
353353	UNIMED TERESINA - COOPERATIVA DE TRABALHO MÉDICO	UNIMED TERESINA	5
359033	UNIMED TRÊS CORAÇÕES COOPERATIVA DE TRABALHO MÉDICO LTDA.	UNIMED TRÊS CORAÇÕES COOPERATIVA DE TRABALHO MÉDICO LTDA.	6
364070	UNIMED TRÊS PONTAS - COOPERATIVA DE TRABALHO MÉDICO	UNIMED TRÊS PONTAS - COOPERATIVA DE TRABALHO MÉDICO	5
337498	UNIMED TRÊS RIOS COOPERATIVA DE TRABALHO MÉDICO	UNIMED TRÊS RIOS	5
354066	UNIMED UBERABA COOPERATIVA DE TRABALHO MEDICO LTDA.	UNIMED UBERABA LTDA.	5
384577	UNIMED UBERLÂNDIA COOPERATIVA REGIONAL TRABALHO MÉDICO LTDA	UNIMED UBERLÂNDIA	5
328596	UNIMED URUGUAIANA/RS COOPERATIVA DE ASSISTÊNCIA À SAÚDE LTDA.	UNIMED URUGUAIANA/RS	5
335541	UNIMED VALE DAS ANTAS, RS - COOPERATIVA DE ASSISTÊNCIA À SAÚDE LTDA.	UNIMED VALE DAS ANTAS, RS - SOC COOP DE SERVIÇOS MÉDICOS LTD	5
359289	UNIMED VALE DO AÇO COOPERATIVA DE TRABALHO MÉDICO	UNIMED VALE DO AÇO COOPERATIVA DE TRABALHO MÉDICO	5
337561	UNIMED VALE DO CARANGOLA COOPERATIVA DE TRABALHO MEDICO LTDA	UNIMED VALE DO CARANGOLA	5
313211	UNIMED VALE DO CAÍ/RS - COOPERATIVA DE ASSISTÊNCIA À SAÚDE LTDA.	UNIMED VALE DO CAÍ	5
302228	UNIMED VALE DO CORUMBÁ COOPERATIVA DE TRABALHO MEDICO	UNIMED VALE DO CORUMBA COOPERATIVA DE TRABALHO MEDICO	5
370975	UNIMED VALE DO JAURU COOPERATIVA DE TRABALHO MÉDICO		5
334511	UNIMED VALE DO PARAÍBA - FEDERAÇÃO INTRAFEDERATIVA DAS COOPERATIVAS MÉDICAS	UNIMED - INTRAFEDERATIVA DO VALE DO PARAÍBA	5
308811	UNIMED VALE DO PIQUIRI-COOPERATIVA DE TRABALHO MÉDICO VALE DO PIQUIRI	UNIMED VALE DO PIQUIRI	5
314099	UNIMED VALE DO SEPOTUBA - COOPERATIVA DE TRABALHO MÉDICO		5
356417	UNIMED VALE DO SINOS - COOPERATIVA DE ASSISTÊNCIA À SAÚDE LTDA	UNIMED (RS) VALE DO SINOS	6
323268	UNIMED VALE DO SÃO FRANCISCO COOPERATIVA DE TRABALHO MÉDICO	UNIMED VALE DO SÃO FRANCISCO	5
311057	UNIMED VALE DO URUCUIA - COOPERATIVA DE TRABALHO MEDICO LTDA	UNIMED VALE DO URUCUIA	5
344729	UNIMED VARGINHA COOPERATIVA DE TRABALHO MÉDICO	UNIMED VARGINHA COOPERATIVA DE TRABALHO MÉDICO	5
317896	UNIMED VERTENTE DO CAPARAÓ - COOPERATIVA DE TRABALHO MÉDICO LTDA	UNIMED VERTENTE DO CAPARAÓ	5
342131	UNIMED VILHENA - COOPERATIVA DE TRABALHO MEDICO LTDA	UNIMED VILHENA	5
357391	UNIMED VITORIA COOPERATIVA DE TRABALHO MEDICO	UNIMED VITORIA	5
314587	UNIMED VIÇOSA - COOPERATIVA DE TRABALHO MÉDICO	UNIMED SERRAS DE MINAS	5
393321	UNIMED-RIO COOPERATIVA DE TRABALHO MEDICO DO RIO DE JANEIRO	UNIMED RIO COOPERATIVA DE TRABALHO MEDICO DO RJ LTDA	4
343731	UNIMED-SÃO GONÇALO - NITERÓI - SOC.COOP.SERV.MED E HOSP LTDA	UNIMED LESTE FLUMINENSE	5
