REG_ANS,PERIODO,ANO,TRIMESTRE,porte,MLL,ROE,ROA,DM,DA,DC,DOP,IRF,LC,CT/CP,PMRC,PMPE,Lastro P T
326089,201504,2015,4,Pequeno Porte,         0.06,         0.06,         0.02,         1.58,         0.17,         0.00,         1.49,         0.02,         1.25,         2.54,        58.31,        44.86,         0.88
327352,201501,2015,1,Pequeno Porte,         0.23,         0.09,         0.06,         0.89,         0.23,         0.00,         1.11,         0.03,         2.46,         0.45,        45.05,        84.65,         0.75
327352,201502,2015,2,Pequeno Porte,         0.14,         0.05,         0.04,         0.95,         0.24,         0.00,         1.18,         0.04,         2.50,         0.45,        44.80,        85.70,         0.73
327352,201503,2015,3,Pequeno Porte,         0.25,         0.10,         0.07,         0.92,         0.22,         0.00,         1.14,         0.05,         2.87,         0.40,        44.81,        85.91,         0.74
327352,201504,2015,4,Pequeno Porte,        -0.04,        -0.02,        -0.01,         1.17,         0.26,         0.00,         1.41,         0.05,         2.63,         0.43,        37.69,        62.79,         0.77
327468,201501,2015,1,Pequeno Porte,         0.32,         0.08,         0.05,         1.58,         0.24,         0.01,         1.54,        -0.02,         1.18,         0.59,       165.61,        91.10,         0.47
327468,201502,2015,2,Pequeno Porte,         0.23,         0.06,         0.04,         1.68,         0.22,         0.01,         1.58,         0.02,         1.19,         0.60,       181.38,        92.07,         0.43
327468,201503,2015,3,Pequeno Porte,         0.16,         0.04,         0.03,         1.80,         0.23,         0.00,         1.61,        -0.00,         1.24,         0.57,       174.11,        77.92,         0.48
327468,201504,2015,4,Pequeno Porte,         0.01,         0.00,         0.00,         1.86,         0.24,         0.01,         1.69,        -0.08,         1.24,         0.55,       183.61,        61.18,         0.54
327638,201501,2015,1,Pequeno Porte,         0.03,         0.02,         0.01,         1.00,         0.19,         0.01,         1.18,        -0.01,         1.87,         0.76,        44.80,        72.20,         0.83
327638,201502,2015,2,Pequeno Porte,         0.03,         0.03,         0.01,         1.02,         0.20,         0.01,         1.21,         0.02,         1.89,         0.83,        45.14,        63.10,         0.74
327638,201503,2015,3,Pequeno Porte,         0.10,         0.08,         0.04,         0.94,         0.17,         0.00,         1.10,         0.01,         2.12,         0.81,        47.32,        38.79,         0.89
327638,201504,2015,4,Pequeno Porte,        -0.13,        -0.10,        -0.05,         1.16,         0.24,         0.00,         1.37,         0.01,         1.84,         0.93,        47.32,        58.58,         0.67
327689,201501,2015,1,Grande Porte,         0.01,         0.05,         0.00,         1.16,         0.12,         0.00,         1.22,         0.01,         1.23,         9.48,       101.66,        53.37,         0.87
327689,201502,2015,2,Grande Porte,         0.01,         0.02,         0.00,         1.18,         0.13,         0.00,         1.26,         0.03,         1.27,         8.23,       101.55,        53.29,         0.86
327689,201503,2015,3,Grande Porte,         0.01,         0.04,         0.00,         1.17,         0.11,         0.01,         1.23,         0.02,         1.26,         8.13,       101.99,        60.62,         0.81
327689,201504,2015,4,Grande Porte,        -0.01,        -0.05,        -0.01,         1.24,         0.09,         0.00,         1.27,         0.02,         1.25,         6.37,       106.88,        50.96,         0.85
328073,201501,2015,1,Pequeno Porte,         0.01,         0.01,         0.00,         1.68,         0.17,         0.01,         1.50,         0.02,         1.71,         2.35,        54.12,       106.93,         0.46
328073,201502,2015,2,Pequeno Porte,         0.05,         0.06,         0.02,         1.70,         0.13,         0.01,         1.47,         0.02,         1.71,         2.23,        33.28,        90.50,         0.50
328073,201503,2015,3,Pequeno Porte,         0.11,         0.12,         0.04,         1.69,         0.18,         0.01,         1.55,         0.03,         1.81,         2.02,        28.43,        89.56,         0.51
328073,201504,2015,4,Pequeno Porte,         0.10,         0.10,         0.04,         1.64,         0.13,         0.01,         1.48,         0.04,         1.96,         1.71,        28.11,        86.31,         0.54
328294,201501,2015,1,Médio Porte,         0.07,         0.09,         0.03,         1.14,         0.13,         0.01,         1.26,         0.01,         1.61,         2.30,        69.65,        79.68,         0.50
328294,201502,2015,2,Médio Porte,         0.08,         0.10,         0.03,         1.15,         0.13,         0.01,         1.27,         0.01,         1.67,         2.13,        71.28,        71.21,         0.53
328294,201503,2015,3,Médio Porte,         0.07,         0.10,         0.03,         1.12,         0.11,         0.01,         1.23,         0.03,         1.74,         1.95,        73.33,        65.47,         0.53
328294,201504,2015,4,Médio Porte,         0.08,         0.10,         0.03,         1.14,         0.18,         0.01,         1.31,         0.06,         1.76,         2.03,        69.22,        69.71,         0.48
328308,201501,2015,1,Pequeno Porte,         0.02,         0.03,         0.01,         1.12,         0.14,         0.00,         1.22,         0.03,         1.45,         2.57,        73.94,       205.22,         0.61
328308,201502,2015,2,Pequeno Porte,        -0.01,        -0.01,        -0.00,         1.15,         0.12,         0.00,         1.23,         0.03,         1.43,         2.61,        69.57,       182.95,         0.62
328308,201503,2015,3,Pequeno Porte,         0.07,         0.08,         0.03,         1.08,         0.13,         0.00,         1.17,         0.03,         1.50,         2.33,        73.82,       179.08,         0.69
328308,201504,2015,4,Pequeno Porte,         0.16,         0.17,         0.06,         0.97,         0.14,         0.00,         1.10,         0.01,         1.63,         1.91,        68.45,       184.19,         0.73
328375,201501,2015,1,Pequeno Porte,         0.12,         0.11,         0.04,         1.32,         0.24,         0.00,         1.39,         0.01,         1.57,         1.84,        37.89,        12.73,         1.04
328375,201502,2015,2,Pequeno Porte,         0.07,         0.06,         0.02,         1.32,         0.25,         0.00,         1.39,         0.01,         1.63,         1.70,        37.86,        13.32,         1.03
328375,201503,2015,3,Pequeno Porte,        -0.04,        -0.03,        -0.01,         1.45,         0.25,         0.00,         1.47,         0.01,         1.55,         1.78,        50.50,        12.50,         1.02
328375,201504,2015,4,Pequeno Porte,        -0.07,        -0.07,        -0.02,         1.53,         0.23,         0.00,         1.57,        -0.03,         1.54,         1.78,        40.72,        11.96,         1.02
328596,201501,2015,1,Pequeno Porte,        -0.05,        -0.09,        -0.01,         1.57,         0.28,         0.02,         1.62,        -0.03,         1.85,         7.05,        59.47,        52.16,         0.77
328596,201502,2015,2,Pequeno Porte,        -0.06,        -0.15,        -0.02,         1.49,         0.22,         0.05,         1.57,         0.01,         1.62,         7.68,        43.63,        50.08,         0.72
328596,201503,2015,3,Pequeno Porte,        -0.05,        -0.17,        -0.02,         1.27,         0.22,         0.03,         1.48,         0.01,         1.52,         9.64,        46.40,        85.82,         0.62
328596,201504,2015,4,Pequeno Porte,         0.26,         1.00,         0.09,         1.08,         0.25,         0.02,         1.35,         0.08,         1.66,        10.51,        71.69,        74.66,         0.72
329339,201501,2015,1,Médio Porte,         0.10,         0.11,         0.05,         1.17,         0.15,         0.00,         1.29,         0.01,         1.24,         1.49,        75.93,        74.17,         0.56
329339,201502,2015,2,Médio Porte,         0.04,         0.05,         0.02,         1.16,         0.12,         0.01,         1.26,         0.01,         1.25,         1.46,        77.13,        70.38,         0.57
329339,201503,2015,3,Médio Porte,         0.01,         0.02,         0.01,         1.25,         0.13,         0.01,         1.34,         0.01,         1.24,         1.50,        68.38,        67.85,         0.57
329339,201504,2015,4,Médio Porte,        -0.01,        -0.01,        -0.01,         1.23,         0.14,         0.01,         1.34,         0.01,         1.26,         1.46,        66.40,        58.95,         0.60
329886,201501,2015,1,Médio Porte,         0.07,         0.19,         0.03,         1.01,         0.13,         0.01,         1.14,         0.00,         1.13,         5.82,         9.20,       116.80,         0.74
329886,201502,2015,2,Médio Porte,         0.00,         0.01,         0.00,         1.10,         0.15,         0.01,         1.26,         0.00,         1.14,         5.81,        10.44,       101.84,         0.77
329886,201503,2015,3,Médio Porte,        -0.03,        -0.08,        -0.01,         1.08,         0.14,         0.01,         1.22,         0.01,         1.10,         5.99,         8.66,        98.01,         0.77
329886,201504,2015,4,Médio Porte,        -0.02,        -0.04,        -0.01,         1.09,         0.15,         0.01,         1.24,         0.01,         1.01,         5.51,        47.93,        99.25,         0.47
330108,201501,2015,1,Médio Porte,         0.18,         0.22,         0.07,         0.97,         0.15,         0.01,         1.12,         0.03,         1.67,         1.78,        95.85,       104.57,         0.63
330108,201502,2015,2,Médio Porte,         0.10,         0.13,         0.04,         1.10,         0.17,         0.01,         1.25,         0.03,         1.74,         1.83,       114.76,       100.79,         0.60
330108,201503,2015,3,Médio Porte,         0.01,         0.02,         0.01,         1.14,         0.16,         0.01,         1.27,         0.03,         1.75,         1.84,        92.13,       107.76,         0.57
330108,201504,2015,4,Médio Porte,        -0.10,        -0.11,        -0.04,         1.26,         0.17,         0.02,         1.38,         0.05,         1.70,         1.60,        61.90,       110.51,         0.55
330264,201501,2015,1,Médio Porte,         0.13,         0.16,         0.06,         0.98,         0.15,         0.00,         1.12,         0.02,         1.19,         1.50,       134.11,        87.67,         0.56
330264,201502,2015,2,Médio Porte,        -0.04,        -0.05,        -0.02,         1.16,         0.15,         0.00,         1.29,         0.03,         1.09,         1.98,       143.02,        95.07,         0.52
330264,201503,2015,3,Médio Porte,         0.04,         0.05,         0.02,         1.09,         0.17,         0.00,         1.24,         0.03,         1.12,         1.92,       147.98,       114.65,         0.55
330264,201504,2015,4,Médio Porte,        -0.10,        -0.17,        -0.05,         1.22,         0.15,         0.00,         1.33,        -0.01,         1.02,         2.37,       140.19,       105.25,         0.53
330566,201501,2015,1,Pequeno Porte,         0.02,         0.02,         0.01,         1.29,         0.11,         0.01,         1.31,        -0.04,         0.70,         2.57,       100.05,        67.23,         0.57
330566,201502,2015,2,Pequeno Porte,         0.07,         0.06,         0.02,         1.36,         0.11,         0.01,         1.36,        -0.04,         0.71,         2.45,        80.71,        63.90,         0.59
330566,201503,2015,3,Pequeno Porte,         0.02,         0.01,         0.00,         1.33,         0.12,         0.01,         1.33,        -0.02,         0.69,         2.39,        75.08,        53.77,         0.64
330566,201504,2015,4,Pequeno Porte,        -0.03,        -0.02,        -0.01,         1.43,         0.15,         0.02,         1.42,        -0.07,         0.70,         2.52,       109.56,        68.40,         0.57
331341,201501,2015,1,Médio Porte,         0.08,         0.13,         0.04,         1.08,         0.11,         0.00,         1.17,         0.02,         1.45,         2.36,        98.50,        89.37,         0.69
331341,201502,2015,2,Médio Porte,         0.02,         0.03,         0.01,         1.16,         0.10,         0.00,         1.23,         0.02,         1.43,         2.40,       106.40,        81.83,         0.69
331341,201503,2015,3,Médio Porte,         0.11,         0.16,         0.05,         1.09,         0.11,         0.00,         1.17,         0.03,         1.51,         2.10,       113.22,        83.31,         0.79
331341,201504,2015,4,Médio Porte,         0.08,         0.10,         0.04,         1.09,         0.11,         0.00,         1.18,         0.03,         1.52,         1.72,       100.90,        75.60,         0.68
331651,201501,2015,1,Médio Porte,         0.28,         0.11,         0.06,         1.03,         0.19,         0.02,         1.20,         0.07,         3.34,         0.57,       102.33,       133.01,         0.39
331651,201502,2015,2,Médio Porte,        -0.11,        -0.04,        -0.03,         1.32,         0.07,         0.02,         1.27,         0.08,         3.88,         0.45,       106.31,        57.38,         0.55
331651,201503,2015,3,Médio Porte,         0.06,         0.02,         0.01,         1.18,         0.12,         0.02,         1.24,         0.08,         3.58,         0.45,       104.05,        68.27,         0.53
331651,201504,2015,4,Médio Porte,         0.06,         0.02,         0.01,         1.22,         0.18,         0.02,         1.31,         0.09,         3.76,         0.40,       110.45,        57.42,         0.58
331872,201501,2015,1,Grande Porte,        -0.02,        -0.06,        -0.01,         1.10,         0.14,         0.01,         1.24,        -0.01,         0.95,         4.36,       133.97,        93.26,         0.74
331872,201502,2015,2,Grande Porte,        -0.02,        -0.06,        -0.01,         1.12,         0.15,         0.01,         1.27,        -0.01,         0.97,         4.74,       137.35,        63.59,         0.80
331872,201503,2015,3,Grande Porte,         0.03,         0.08,         0.02,         1.08,         0.13,         0.01,         1.22,        -0.02,         1.00,         4.31,       138.25,        67.83,         0.80
331872,201504,2015,4,Grande Porte,         0.09,         0.20,         0.05,         1.14,         0.14,         0.01,         1.26,        -0.02,         1.02,         3.20,       162.55,        56.39,         0.88
333051,201501,2015,1,Médio Porte,         0.10,         0.15,         0.04,         1.19,         0.12,         0.01,         1.26,        -0.00,         1.04,         2.96,        34.47,       106.03,         0.84
333051,201502,2015,2,Médio Porte,         0.02,         0.03,         0.01,         1.35,         0.17,         0.02,         1.40,         0.01,         1.07,         3.12,        36.44,        83.00,         0.90
333051,201503,2015,3,Médio Porte,         0.07,         0.12,         0.03,         1.38,         0.15,         0.03,         1.36,         0.02,         1.13,         2.90,       117.05,        76.69,         1.09
333051,201504,2015,4,Médio Porte,         0.09,         0.11,         0.04,         1.27,         0.15,         0.03,         1.34,         0.02,         1.13,         2.00,        75.20,        87.58,         1.08
333662,201501,2015,1,Médio Porte,         0.10,         0.16,         0.05,         0.98,         0.09,         0.01,         1.07,         0.03,         1.99,         1.96,        66.03,       120.63,         0.47
333662,201502,2015,2,Médio Porte,         0.03,         0.04,         0.01,         1.03,         0.11,         0.00,         1.13,         0.03,         1.90,         2.13,        72.24,       143.10,         0.42
333662,201503,2015,3,Médio Porte,         0.04,         0.07,         0.02,         1.02,         0.10,         0.01,         1.12,         0.04,         1.89,         2.16,        57.97,       153.95,         0.39
333662,201504,2015,4,Médio Porte,        -0.05,        -0.07,        -0.03,         1.11,         0.11,         0.01,         1.22,         0.00,         1.89,         1.88,        48.79,       138.37,         0.40
334154,201501,2015,1,Médio Porte,         0.06,         0.08,         0.02,         1.28,         0.16,         0.00,         1.34,         0.01,         0.97,         3.13,        57.55,        78.60,         0.70
334154,201502,2015,2,Médio Porte,         0.01,         0.01,         0.00,         1.35,         0.15,         0.01,         1.40,         0.03,         1.01,         3.14,        35.05,        85.21,         0.67
334154,201503,2015,3,Médio Porte,         0.05,         0.06,         0.01,         1.27,         0.15,         0.00,         1.33,         0.02,         0.98,         3.10,        46.45,        79.25,         0.70
334154,201504,2015,4,Médio Porte,         0.09,         0.10,         0.03,         1.21,         0.17,         0.00,         1.30,         0.03,         1.00,         2.66,        40.35,        81.49,         0.92
334511,201501,2015,1,Pequeno Porte,         0.14,         0.04,         0.02,         4.08,         0.79,         0.02,         2.16,         0.05,         1.23,         1.44,        53.20,        93.24,         0.67
334511,201502,2015,2,Pequeno Porte,        -0.57,        -0.06,        -0.02,        11.71,         2.61,         0.00,         2.40,         0.13,         1.21,         1.30,        90.19,        54.77,         1.09
334511,201503,2015,3,Pequeno Porte,         0.42,         0.03,         0.01,        14.27,         2.57,         0.00,         2.29,         0.10,         1.22,         1.29,       149.08,        40.37,         1.63
334511,201504,2015,4,Pequeno Porte,        -1.24,        -0.11,        -0.04,        15.84,         3.82,         0.00,         2.56,         0.47,         1.21,         1.36,       218.37,        47.00,         1.05
334561,201501,2015,1,Grande Porte,        -0.14,        -0.27,        -0.06,         1.25,         0.11,         0.00,         1.34,        -0.02,         0.91,         3.30,        45.31,        53.63,         0.56
334561,201502,2015,2,Grande Porte,         0.08,         0.13,         0.03,         1.03,         0.12,         0.00,         1.14,        -0.01,         1.05,         2.83,        50.61,        68.51,         0.67
334561,201503,2015,3,Grande Porte,         0.05,         0.07,         0.02,         1.13,         0.13,         0.00,         1.22,        -0.00,         1.02,         2.29,        53.43,        62.34,         0.80
334561,201504,2015,4,Grande Porte,         0.01,         0.02,         0.01,         1.15,         0.12,         0.00,         1.23,        -0.01,         1.03,         2.06,        50.74,        52.80,         0.80
334847,201501,2015,1,Pequeno Porte,        -0.00,        -0.00,        -0.00,         1.32,         0.16,         0.01,         1.34,         0.04,         1.73,         2.46,        86.37,       158.31,         0.45
334847,201502,2015,2,Pequeno Porte,         0.13,         0.12,         0.03,         1.21,         0.18,         0.01,         1.28,         0.04,         1.80,         2.52,        87.41,       145.98,         0.52
334847,201503,2015,3,Pequeno Porte,         0.18,         0.17,         0.05,         1.20,         0.17,         0.01,         1.29,         0.05,         1.95,         2.50,        82.05,       144.95,         0.53
334847,201504,2015,4,Pequeno Porte,         0.03,         0.02,         0.01,         1.37,         0.23,         0.01,         1.43,         0.05,         1.89,         1.69,        69.24,       128.96,         0.58
335100,201501,2015,1,Grande Porte,         0.16,         0.22,         0.08,         1.22,         0.12,         0.00,         1.28,         0.01,         1.72,         1.82,        71.41,       108.50,         0.56
335100,201502,2015,2,Grande Porte,        -0.02,        -0.03,        -0.01,         1.47,         0.12,         0.01,         1.44,         0.03,         1.55,         2.08,        60.97,        98.79,         0.51
335100,201503,2015,3,Grande Porte,         0.02,         0.03,         0.01,         1.33,         0.11,         0.00,         1.35,         0.03,         1.43,         1.94,        78.78,       101.10,         0.51
335100,201504,2015,4,Grande Porte,         0.04,         0.06,         0.02,         1.27,         0.11,         0.00,         1.32,         0.02,         1.31,         1.70,        66.48,        94.88,         0.50
335215,201501,2015,1,Médio Porte,         0.10,         0.13,         0.04,         1.23,         0.14,         0.00,         1.32,         0.02,         1.26,         2.54,        26.49,        92.10,         0.47
335215,201502,2015,2,Médio Porte,         0.11,         0.13,         0.04,         1.21,         0.17,         0.00,         1.32,         0.01,         1.31,         2.25,        27.27,        93.89,         0.47
335215,201503,2015,3,Médio Porte,         0.06,         0.06,         0.02,         1.30,         0.17,         0.00,         1.36,         0.01,         1.31,         2.14,        24.04,        90.85,         0.48
335215,201504,2015,4,Médio Porte,        -0.10,        -0.18,        -0.04,         1.42,         0.17,         0.00,         1.46,         0.00,         1.12,         3.25,        27.05,        84.54,         0.49
335479,201501,2015,1,Médio Porte,         0.13,         0.19,         0.07,         0.95,         0.10,         0.02,         1.06,         0.01,         1.47,         1.66,       149.90,        57.55,         0.68
335479,201502,2015,2,Médio Porte,         0.09,         0.12,         0.05,         1.02,         0.09,         0.01,         1.11,         0.03,         1.48,         1.57,       180.50,        53.92,         0.66
335479,201503,2015,3,Médio Porte,         0.05,         0.06,         0.02,         1.06,         0.09,         0.02,         1.15,         0.03,         1.49,         1.56,       192.37,        60.73,         0.64
335479,201504,2015,4,Médio Porte,         0.05,         0.07,         0.03,         1.03,         0.09,         0.01,         1.12,         0.02,         1.55,         1.52,       206.10,        53.95,         0.66
335517,201501,2015,1,Médio Porte,         0.13,         0.13,         0.05,         1.13,         0.12,         0.00,         1.19,         0.04,         1.80,         1.37,       120.49,       102.19,         0.58
335517,201502,2015,2,Médio Porte,        -0.07,        -0.07,        -0.03,         1.30,         0.14,         0.00,         1.31,         0.04,         1.69,         1.57,        86.14,        90.67,         0.59
335517,201503,2015,3,Médio Porte,         0.20,         0.19,         0.08,         1.11,         0.12,         0.00,         1.20,         0.05,         1.85,         1.33,       142.18,       117.26,         0.53
335517,201504,2015,4,Médio Porte,        -0.11,        -0.13,        -0.05,         1.29,         0.15,         0.00,         1.33,         0.04,         1.69,         1.52,       149.76,       109.91,         0.54
335541,201501,2015,1,Pequeno Porte,         0.02,         0.03,         0.01,         1.44,         0.23,         0.01,         1.49,         0.01,         1.74,         2.76,        27.14,        60.64,         0.64
335541,201502,2015,2,Pequeno Porte,        -0.13,        -0.21,        -0.05,         1.63,         0.27,         0.01,         1.66,         0.02,         1.55,         3.54,        40.32,        59.27,         0.61
335541,201503,2015,3,Pequeno Porte,        -0.05,        -0.09,        -0.02,         1.50,         0.27,         0.01,         1.58,         0.03,         1.58,         3.93,        45.96,        67.32,         0.60
335541,201504,2015,4,Pequeno Porte,         0.10,         0.16,         0.04,         1.38,         0.23,         0.01,         1.45,         0.03,         1.70,         3.00,        38.08,        48.84,         0.72
335592,201501,2015,1,Grande Porte,         0.06,         0.11,         0.03,         0.98,         0.12,         0.01,         1.11,         0.02,         1.26,         3.28,        71.51,        77.38,         0.58
335592,201502,2015,2,Grande Porte,        -0.01,        -0.02,        -0.00,         1.07,         0.14,         0.00,         1.21,         0.02,         1.26,         3.33,        74.20,        81.45,         0.55
335592,201503,2015,3,Grande Porte,        -0.04,        -0.08,        -0.02,         1.09,         0.13,         0.01,         1.22,         0.02,         1.21,         3.65,        70.84,        81.99,         0.52
335592,201504,2015,4,Grande Porte,         0.03,         0.05,         0.01,         1.06,         0.12,         0.00,         1.17,         0.02,         1.28,         3.40,        69.87,        78.14,         0.55
335690,201501,2015,1,Grande Porte,         0.12,         0.21,         0.04,         0.93,         0.08,         0.00,         1.01,         0.02,         1.00,         3.65,        84.05,       149.51,         0.00
335690,201502,2015,2,Grande Porte,         0.04,         0.07,         0.01,         1.03,         0.08,         0.00,         1.11,         0.02,         1.19,         3.43,        65.22,        92.26,         0.00
335690,201503,2015,3,Grande Porte,        -0.04,        -0.09,        -0.02,         1.13,         0.08,         0.00,         1.19,         0.02,         1.08,         3.30,        75.56,        82.99,         0.00
335690,201504,2015,4,Grande Porte,         0.03,         0.05,         0.02,         1.59,         0.11,         0.00,         1.45,         0.15,         1.11,         1.37,        68.06,        67.56,         0.00
336106,201501,2015,1,Médio Porte,         0.10,         0.18,         0.04,         1.37,         0.20,         0.00,         1.39,         0.01,         1.46,         3.14,       159.04,        92.74,         0.68
336106,201502,2015,2,Médio Porte,        -0.02,        -0.04,        -0.01,         1.49,         0.19,         0.00,         1.46,         0.02,         1.44,         3.09,       171.98,        97.83,         0.61
336106,201503,2015,3,Médio Porte,         0.04,         0.09,         0.02,         1.43,         0.19,         0.00,         1.42,         0.02,         1.44,         3.22,       189.15,       108.05,         0.57
336106,201504,2015,4,Médio Porte,         0.03,         0.05,         0.01,         1.43,         0.19,         0.00,         1.42,         0.02,         1.53,         2.47,       165.13,        95.12,         0.62
336467,201501,2015,1,Pequeno Porte,         0.20,         0.06,         0.04,         1.17,         0.11,         0.00,         1.20,         0.09,         2.98,         0.46,       131.83,        79.13,         0.68
336467,201502,2015,2,Pequeno Porte,        -0.01,        -0.00,        -0.00,         1.36,         0.14,         0.00,         1.35,         0.11,         2.74,         0.51,       142.65,        64.70,         0.69
336467,201503,2015,3,Pequeno Porte,         0.21,         0.06,         0.04,         1.31,         0.12,         0.00,         1.31,         0.12,         2.90,         0.47,       107.98,        65.78,         0.70
336467,201504,2015,4,Pequeno Porte,         0.48,         0.13,         0.10,         0.95,         0.15,         0.00,         1.09,         0.13,         3.87,         0.34,       119.23,        74.91,         0.73
336858,201501,2015,1,Pequeno Porte,         0.18,         0.16,         0.08,         0.92,         0.08,         0.03,         1.03,         0.03,         1.81,         1.15,       118.02,        83.73,         0.63
336858,201502,2015,2,Pequeno Porte,         0.00,         0.00,         0.00,         1.08,         0.09,         0.03,         1.20,         0.03,         1.70,         1.28,       139.49,        74.82,         0.62
336858,201503,2015,3,Pequeno Porte,         0.06,         0.06,         0.03,         1.00,         0.09,         0.02,         1.11,         0.03,         1.69,         1.31,       135.53,        69.02,         0.65
336858,201504,2015,4,Pequeno Porte,         0.08,         0.08,         0.04,         1.07,         0.10,         0.02,         1.19,         0.04,         1.83,         1.11,       126.50,        69.45,         0.64
337188,201501,2015,1,Médio Porte,         0.05,         0.15,         0.02,         0.97,         0.13,         0.01,         1.11,         0.02,         1.25,         5.42,       149.83,       105.38,         0.52
337188,201502,2015,2,Médio Porte,        -0.03,        -0.08,        -0.01,         1.12,         0.15,         0.01,         1.27,         0.02,         1.18,         6.31,       168.06,       112.87,         0.45
337188,201503,2015,3,Médio Porte,        -0.02,        -0.06,        -0.01,         1.09,         0.14,         0.01,         1.22,         0.02,         1.15,         6.70,       160.44,       147.37,         0.39
337188,201504,2015,4,Médio Porte,        -0.01,        -0.02,        -0.00,         1.20,         0.14,         0.01,         1.28,         0.02,         1.02,         6.72,       155.94,       135.28,         0.39
337374,201501,2015,1,Médio Porte,         0.01,         0.01,         0.00,         1.19,         0.26,         0.00,         1.42,         0.01,         1.13,         3.42,        94.22,        57.61,         0.81
337374,201502,2015,2,Médio Porte,         0.01,         0.01,         0.00,         1.16,         0.26,         0.00,         1.40,         0.01,         1.13,         3.50,       107.80,        55.37,         0.81
337374,201503,2015,3,Médio Porte,        -0.01,        -0.02,        -0.00,         1.17,         0.26,         0.00,         1.41,         0.01,         1.07,         3.66,       111.21,        58.49,         0.80
337374,201504,2015,4,Médio Porte,        -0.00,        -0.00,        -0.00,         1.16,         0.26,         0.00,         1.40,         0.01,         1.05,         3.62,       110.85,        59.17,         0.78
337498,201501,2015,1,Pequeno Porte,         0.12,         0.14,         0.07,         0.97,         0.12,         0.02,         1.10,         0.04,         1.71,         1.10,        30.35,        69.49,         0.65
337498,201502,2015,2,Pequeno Porte,         0.04,         0.05,         0.02,         1.08,         0.11,         0.03,         1.20,         0.04,         1.66,         1.15,        41.42,        78.55,         0.59
337498,201503,2015,3,Pequeno Porte,         0.02,         0.02,         0.01,         1.07,         0.11,         0.02,         1.19,         0.04,         1.63,         1.19,        35.32,        72.61,         0.60
337498,201504,2015,4,Pequeno Porte,         0.03,         0.03,         0.02,         1.06,         0.14,         0.02,         1.20,         0.04,         1.66,         1.22,        35.32,        82.30,         0.57
337561,201501,2015,1,Pequeno Porte,         0.01,         0.01,         0.01,         1.08,         0.15,         0.00,         1.21,         0.02,         2.41,         1.49,        90.57,        56.40,         0.68
337561,201502,2015,2,Pequeno Porte,         0.23,         0.20,         0.09,         0.89,         0.15,         0.00,         1.04,         0.02,         2.88,         1.18,       100.31,        43.39,         0.94
337561,201503,2015,3,Pequeno Porte,         0.14,         0.11,         0.06,         0.95,         0.15,         0.00,         1.09,         0.03,         3.02,         1.08,       112.16,        43.81,         0.90
337561,201504,2015,4,Pequeno Porte,        -0.33,        -0.35,        -0.13,         1.42,         0.49,         0.00,         1.80,        -0.04,         3.23,         1.72,        77.66,        29.56,         0.84
337668,201501,2015,1,Médio Porte,         0.06,         0.16,         0.03,         0.96,         0.09,         0.00,         1.05,         0.02,         1.03,         4.75,       125.65,       133.72,         0.45
337668,201502,2015,2,Médio Porte,         0.04,         0.10,         0.02,         0.99,         0.09,         0.00,         1.08,         0.02,         1.04,         4.50,       142.94,       170.09,         0.41
337668,201503,2015,3,Médio Porte,         0.01,         0.02,         0.00,         1.04,         0.08,         0.00,         1.11,         0.02,         1.06,         4.62,       147.40,       164.08,         0.40
337668,201504,2015,4,Médio Porte,         0.03,         0.08,         0.02,         1.01,         0.04,         0.00,         1.05,         0.04,         1.06,         4.17,       139.73,       154.82,         0.43
337871,201501,2015,1,Médio Porte,         0.08,         0.15,         0.05,         0.97,         0.13,         0.00,         1.09,         0.02,         1.39,         2.18,        33.30,        77.74,         0.79
337871,201502,2015,2,Médio Porte,        -0.06,        -0.14,        -0.04,         1.14,         0.14,         0.00,         1.25,         0.03,         1.29,         2.69,        24.73,        81.05,         0.74
337871,201503,2015,3,Médio Porte,        -0.10,        -0.32,        -0.07,         1.17,         0.15,         0.00,         1.28,         0.03,         1.16,         3.66,        35.41,        76.98,         0.76
337871,201504,2015,4,Médio Porte,         0.14,         0.34,         0.10,         0.93,         0.14,         0.00,         1.06,         0.02,         1.31,         2.53,        34.08,        84.85,         0.78
339679,201501,2015,1,Grande Porte,         0.04,         0.08,         0.02,         1.22,         0.07,         0.03,         1.26,         0.02,         1.33,         2.32,        68.09,        74.29,         0.63
339679,201502,2015,2,Grande Porte,        -0.00,        -0.00,        -0.00,         1.23,         0.07,         0.03,         1.29,         0.02,         1.30,         2.53,        80.81,        77.52,         0.59
339679,201503,2015,3,Grande Porte,         0.00,         0.00,         0.00,         1.21,         0.07,         0.03,         1.27,         0.03,         1.26,         2.63,        78.01,        81.31,         0.63
339679,201504,2015,4,Grande Porte,         0.01,         0.02,         0.01,         1.19,         0.07,         0.03,         1.25,         0.03,         1.21,         2.51,       116.85,        75.94,         0.65
340251,201501,2015,1,Pequeno Porte,         0.13,         0.16,         0.04,         1.18,         0.21,         0.00,         1.33,         0.04,         1.63,         2.73,        31.11,        76.96,         0.70
340251,201502,2015,2,Pequeno Porte,        -0.09,        -0.13,        -0.03,         1.37,         0.24,         0.00,         1.51,         0.03,         1.61,         2.93,        37.34,        74.89,         0.66
340251,201503,2015,3,Pequeno Porte,        -0.20,        -0.43,        -0.08,         1.42,         0.22,         0.00,         1.56,         0.03,         1.28,         4.10,        14.73,        55.69,         0.73
